species,symptoms,disease,temperature,outcome,severity
Cat,Vomiting,Megacolon,39.2,Ongoing,moderate
Dog,"Muscle spasms, Rigid limbs",Tetanus,41.4,Died,severe
Pig,None,Ear Notching,38.9,Recovered,no outbreak
Goat,"Nasal discharge, Head pressing",Nasal Tumor,40,Euthanized,severe
Horse,"Fever, Diarrhea",Potomac Horse Fever,41.1,Died,severe
Dog,None,Travel Health Certificate,38.7,Recovered,no outbreak
Cat,"Panting, Blue-tinged gums",Pleural Effusion,40.2,Euthanized,severe
Cow,"Lumpy jaw, Hard swelling on bone",Actinomycosis,40.1,Ongoing,moderate
Dog,Itching,Contact Dermatitis,38.9,Recovered,mild
Sheep,None,Selenium Injection,38.8,Recovered,no outbreak
Cat,"Runny nose, Congestion",Chronic Sinusitis,39.3,Ongoing,mild
Pig,"Bloody diarrhea, Weight loss",Ileitis,40.5,Ongoing,moderate
Dog,"Difficulty breathing, Exercise intolerance",Brachycephalic Obstructive Airway Syndrome,39.4,Ongoing,severe
Horse,"Runny eyes, Nasal discharge",Viral Rhinopneumonitis,40,Recovered,moderate
Cow,"Incoordination, Falling",Nervous Ketosis,39.9,Ongoing,severe
Dog,None,Obedience Training Referral,38.8,Recovered,no outbreak
Cat,"Peeing on rugs, Hiding",Stress-related Cystitis,38.9,Ongoing,mild
Goat,None,Vitamin A & D Shot,38.8,Recovered,no outbreak
Dog,"Waxy discharge in ears, Odor",Yeast Otitis,39.2,Recovered,mild
Sheep,"Rapid breathing, Fever",Pasteurellosis,41.3,Died,severe
Horse,Lameness,Pedal Osteitis,39.1,Ongoing,moderate
Cat,"Vomiting bile, Early morning",Bilious Vomiting,38.7,Recovered,mild
Cow,"Hair loss, Itching",Lice Infestation,39,Recovered,mild
Dog,None,Weight Management Plan,38.8,Recovered,no outbreak
Pig,"Fever, Abortion",Brucellosis,40.7,Euthanized,severe
Cat,"Sitting by water bowl, Not drinking",Nausea,39.1,Ongoing,mild
Dog,"Mass on gums, Bleeding",Epulis,38.9,Ongoing,mild
Horse,None,Insurance Exam,38.6,Recovered,no outbreak
Cow,"Low milk calcium, Weakness",Subclinical Milk Fever,38.4,Recovered,mild
Dog,Seizure,Brain Tumor,40.2,Euthanized,severe
Cat,None,Re-check Suture Site,38.8,Recovered,no outbreak
Goat,"Diarrhea, Dehydration",E. coli Scours,40,Died,moderate
Pig,"Ulcers in stomach, Pale",Gastric Ulcers,39.6,Ongoing,moderate
Dog,"Tail chasing, Obsessive behavior",OCD,38.8,Ongoing,mild
Horse,Lameness,Bog Spavin,39,Ongoing,mild
Cat,None,Euthanasia (Old Age),38.2,Euthanized,no outbreak
Dog,"Panting, Restlessness",Heat Stress,40.5,Recovered,mild
Cow,None,Castration,39.1,Recovered,no outbreak
Sheep,"Weak lambs, Low survival",White Muscle Disease,39.3,Ongoing,moderate
Cat,"Stumbling, Falling",Cerebellar Hypoplasia,38.9,Ongoing,moderate
Dog,"Separation anxiety, Barking",Behavioral Issue,38.8,Ongoing,mild
Horse,"Weight loss, Colic",Sand Ingestion,39.9,Ongoing,moderate
Goat,None,Tetanus Antitoxin,38.9,Recovered,no outbreak
Pig,"Constipation in sows, Straining",Fecal Impaction,39.3,Recovered,mild
Dog,"Snoring, Snorting",Elongated Soft Palate,39,Ongoing,moderate
Cat,"Hiding, Not eating",Post-operative Pain,39.2,Recovered,mild
Cow,None,Trichomoniasis Test,38.8,Recovered,no outbreak
Dog,"Skin folds moist, Red",Skin Fold Dermatitis,39.1,Recovered,mild
Sheep,"Sudden death, Bloat",Clostridial Disease,42.2,Died,severe
Horse,"Muscle tremors, Weakness",Hyperkalemic Periodic Paralysis,39.4,Ongoing,moderate
Cat,None,FIV/FeLV Test,38.8,Recovered,no outbreak
Pig,"Weak piglets, Splayleg",Myofibrillar Hypoplasia,39,Recovered,mild
Dog,"Licking air, Swallowing",Esophagitis,39.2,Recovered,mild
Goat,"Thick, cheesy milk",Mastitis,40.3,Ongoing,moderate
Cow,"Photosensitivity, Liver damage",Pyrrolizidine Alkaloid Toxicity,41,Euthanized,severe
Dog,"Pooping in house, Disoriented",Canine Cognitive Dysfunction,38.7,Ongoing,moderate
Cat,"Eye inflammation, Pain",Uveitis,39.6,Ongoing,moderate
Horse,"Chronic cough, Nasal discharge",Guttural Pouch Mycosis,40.5,Euthanized,severe
Sheep,"Wool pulling, Chewing",Wool Break,38.9,Ongoing,mild
Dog,"Whining in crate, Destructive",Crate Anxiety,38.8,Ongoing,mild
Cat,"Lethargy, Refusing to move",Fever of Unknown Origin,40.8,Ongoing,moderate
Pig,None,Needle Teeth Clipping,38.9,Recovered,no outbreak
Cow,Lameness,Foot Abscess,39.9,Recovered,mild
Dog,"Swallowing repeatedly, Lip smacking",Nausea,39,Recovered,mild
Horse,Lameness,Suspensory Ligament Desmitis,39.3,Ongoing,severe
Goat,"Hair loss, Flaky skin",Zinc Deficiency,38.9,Recovered,mild
Cat,"Excessive vocalization, Restlessness",Hyperesthesia,38.8,Ongoing,mild
Dog,"Growling, Fear of strangers",Fear Aggression,38.9,Ongoing,moderate
Sheep,"Limping, Swollen knee",Infectious Arthritis,40.4,Ongoing,moderate
Cow,None,Synchronized Breeding Program,38.8,Recovered,no outbreak
Horse,"Depression, Lack of interest",Anhedonia,38.7,Ongoing,mild
Dog,"Eating non-food items, Rocks",Pica,38.9,Ongoing,mild
Cat,"Staring into space, Unresponsive",Focal Seizure,39.2,Ongoing,moderate
Pig,"Sow crushing piglets, Agitation",Maternal Cannibalism,39.5,Ongoing,severe
Goat,None,Selenium Supplementation,38.8,Recovered,no outbreak
Dog,None,Canine Good Citizen Test,38.7,Recovered,no outbreak
Cow,"Decreased rumen motility, Anorexia",Indigestion,39.4,Recovered,mild
Horse,"Head tilt, Incoordination",Vestibular Syndrome,39.8,Recovered,moderate
Cat,"Diarrhea, Weight loss",Exocrine Pancreatic Insufficiency,39.1,Ongoing,moderate
Dog,"Coprophagia, Eating feces",Behavioral Problem,38.8,Ongoing,mild
Sheep,"Facial paralysis, Drooping ear",Listeriosis,41.4,Died,severe
Goat,Kidding,Dystocia,39.9,Ongoing,severe
Dog,"Submissive urination, Cowering",Anxiety,38.7,Ongoing,mild
Cat,"Panting, Agitation",Pain,39.5,Ongoing,moderate
